2022-06-26 17:23:35.774983 | delete-election | bdfs | Draft
2022-06-26 17:23:39.458866 | delete-election | sadasdas | Draft
2022-06-26 17:24:46.727087 | create-election | autding | Draft
2022-06-26 17:25:30.702651 | change-settings | papopeauyddsfa | Draft
2022-06-26 17:26:29.635698 | add-candidate: SRBDSM99A50Z129L | papopeauyddsfa | Draft
2022-06-26 17:26:59.274434 | add-candidate: STNLCU00H23Z129G | papopeauyddsfa | Draft
2022-06-26 17:27:11.325903 | approve-election | papopeauyddsfa | Approvata
2022-06-26 17:27:54.116468 | end-election-now | papopeauyddsfa | Approvata
2022-06-26 17:28:29.459658 | create-election | rerrefee | Draft
2022-06-26 17:29:29.202313 | change-referendum-question | rerrefee | Draft
2022-06-26 17:29:32.933854 | change-settings | rerrefee | Draft
2022-06-26 17:30:19.577707 | approve-election | rerrefee | Approvata
2022-06-26 17:30:26.543656 | end-election-now | rerrefee | Approvata
2022-06-27 14:25:26.273895 | change-settings | culo2 | Draft
2022-06-27 14:25:58.338586 | create-election | q2e | Draft
2022-07-01 11:15:29.101686 | create-election | elezione comunale | Draft
2022-07-01 11:15:48.099767 | add-candidate: STNLCU00H23Z129G | elezione comunale | Draft
2022-07-01 11:15:56.15039 | add-candidate: STNLCU00H23Z129U | elezione comunale | Draft
2022-07-01 11:16:10.925183 | add-candidate: SRBDSM99A50Z129L | elezione comunale | Draft
2022-07-01 11:16:35.423166 | approve-election | elezione comunale | Approvata
2022-07-01 11:17:59.427371 | end-election-now | elezione comunale | Approvata
2022-07-16 16:54:21.818833 | create-election | busto arsizio | Draft
2022-07-16 16:54:37.098834 | change-referendum-question | busto arsizio | Draft
2022-07-16 16:54:46.906255 | approve-election | busto arsizio | Approvata
2022-07-16 16:55:43.694317 | change-settings | busto arsizio | Approvata
2022-07-16 16:56:38.564071 | end-election-now | busto arsizio | Approvata
2022-07-16 23:11:47.89003 | create-election | elezione prova | Draft
2022-07-16 23:21:57.607498 | add-candidate: SRBDSM99A50Z129L | elezione prova | Draft
2022-07-16 23:22:32.606597 | add-candidate: STNLCU00H23Z129G | elezione prova | Draft
2022-07-16 23:22:45.51793 | add-candidate: STNLCU00H23Z129U | elezione prova | Draft
2022-07-16 23:23:00.291005 | add-candidate: STNLCU00H23Z129P | elezione prova | Draft
2022-07-16 23:23:23.473266 | add-candidate: STNLCU00H23Z129O | elezione prova | Draft
2022-07-16 23:36:06.701297 | change-settings | elezione prova | Draft
2022-07-16 23:36:13.930816 | approve-election | elezione prova | Approvata
2022-07-17 18:21:40.521487 | create-election | rafefe | Draft
2022-07-17 18:22:10.012076 | change-referendum-question | rafefe | Draft
2022-07-17 18:22:42.547841 | approve-election | rafefe | Approvata
2022-07-17 18:31:14.055692 | end-election-now | elezione prova | Approvata
